recommended,geometry
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.00723,51.59612],[-0.00841,51.59634]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.00841,51.59634],[-0.00899,51.59645]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.00899,51.59645],[-0.00934,51.59652]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.00934,51.59652],[-0.01038,51.59671]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.01038,51.59671],[-0.01161,51.59694]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.00837,51.59109],[-0.00824,51.59088]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.02206,51.43288],[-0.02191,51.43246]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.02191,51.43246],[-0.02179,51.43213]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.02179,51.43213],[-0.02164,51.43175]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.02164,51.43175],[-0.02122,51.43062]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.02122,51.43062],[-0.02069,51.42935]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.02069,51.42935],[-0.0205,51.42882]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.0205,51.42882],[-0.01962,51.42749]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.01962,51.42749],[-0.01925,51.42694]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.00908,51.43461],[0.00953,51.43387]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.00978,51.43328],[0.01013,51.43242]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.01013,51.43242],[0.01016,51.43236]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.01016,51.43236],[0.01054,51.43155]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.01054,51.43155],[0.01093,51.43109]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.01093,51.43109],[0.01136,51.43058]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.01136,51.43058],[0.01168,51.43023]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.01168,51.43023],[0.01216,51.42971]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.12716,51.55689],[-0.12704,51.55684]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.1218,51.55226],[-0.12208,51.55239]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.13712,51.51982],[-0.1362,51.51918]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.13806,51.51991],[-0.1384,51.52022]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.1384,51.52022],[-0.1391,51.52083]]}"
Cycle Lanes with light segregation,"{""type"":""LineString"",""coordinates"":[[-0.13533,51.51711],[-0.13587,51.51791]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.13587,51.51791],[-0.13694,51.51889]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.13332,51.5206],[-0.13323,51.52051]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.13763,51.51862],[-0.13651,51.51691]]}"
Cycle Lanes with light segregation,"{""type"":""LineString"",""coordinates"":[[-0.13533,51.51711],[-0.1359,51.51701]]}"
Cycle Lanes with light segregation,"{""type"":""LineString"",""coordinates"":[[-0.1359,51.51701],[-0.13651,51.51691]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.13986,51.5169],[-0.13836,51.51718]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.13836,51.51718],[-0.13788,51.51729]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.1428,51.51738],[-0.14162,51.51759]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.14068,51.52048],[-0.14011,51.51932]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.13674,51.52184],[-0.13678,51.52187]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.13916,51.52282],[-0.13925,51.52283]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.11907,51.55614],[-0.12001,51.55572]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.11327,51.5432],[-0.11201,51.54344]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.11201,51.54344],[-0.11123,51.54362]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.11123,51.54362],[-0.11089,51.5437]]}"
