name,region,width,geometry
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.54684,51.38031],[0.54758,51.37895]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.54997,51.38289],[0.55033,51.38296]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55344,51.38747],[0.55352,51.38739]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55352,51.38739],[0.55378,51.38745]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55378,51.38745],[0.55402,51.38746]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55402,51.38746],[0.55424,51.38747]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55425,51.38747],[0.55445,51.38747]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55445,51.38747],[0.55466,51.38747]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55466,51.38747],[0.55484,51.38747]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55484,51.38747],[0.55541,51.38742]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55378,51.38745],[0.5538,51.38731]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55402,51.38746],[0.55403,51.38732]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55424,51.38747],[0.55426,51.38733]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55445,51.38747],[0.55446,51.38733]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55466,51.38747],[0.55466,51.38734]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55484,51.38747],[0.55485,51.38734]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55352,51.38739],[0.55358,51.3873]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.5538,51.38801],[0.55385,51.38803]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.5538,51.38805],[0.55387,51.38814]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55387,51.38814],[0.55391,51.38823]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55391,51.38823],[0.55458,51.38828]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55367,51.38827],[0.55391,51.38824]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55363,51.38817],[0.55387,51.38814]]}"
